candidate,test,load_pct,runs,seed_count,stim_cycles,generated,source_overrun,accepted,delivered,errors,delivery_ratio,acceptance_ratio,overrun_ratio,end_to_end_ratio,avg_total_cycles,avg_throughput,worst_throughput,throughput_stddev,measurement_delivered,measurement_cycles,window_completion_ratio,avg_e2e_latency,worst_e2e_latency,avg_internal_latency,worst_internal_latency,avg_request_wait,worst_request_wait,avg_timing_error,worst_timing_error,avg_fairness,worst_fairness,performance_state,knee_load_pct,tail_latency_factor,tail_wait_factor,tail_timing_error_factor,tail_degraded,correctness_issues,event_metrics_state,event_runs,event_seed_count,event_rows,delivered_event_rows,undelivered_event_rows,censored_event_rows,p50_e2e_latency_cycles,p95_e2e_latency_cycles,p99_e2e_latency_cycles,p50_internal_latency_cycles,p95_internal_latency_cycles,p99_internal_latency_cycles,deadline_events,deadline_misses,deadline_censored,deadline_miss_ratio,service_sources_expected,service_sources_delivered,service_sources_unobserved,service_gap_samples,p95_service_gap_cycles,p99_service_gap_cycles,max_service_gap_cycles,service_window_cycles,service_source_windows,min_service_per_source_window,zero_service_source_windows,zero_service_source_window_ratio,active_offered_sources,demand_normalized_acceptance_fairness,demand_normalized_delivery_fairness,min_source_acceptance_ratio,min_source_delivery_ratio,demand_service_source_windows,zero_demand_service_source_windows,zero_demand_service_source_window_ratio
flat-rr-verilator,core_simultaneous_identity,6,1,1,256,16,0,16,16,0,1,1,0,1,266,0.0625,0.0625,0,16,256,1.04166667,9.5,17,1,1,15,15,0,0,1,1,PASS,,,,,False,,COMPLETE,1,1,16,16,0,0,9,17,17,1,1,1,16,0,0,0,16,16,0,0,,,,64,3264,0,2240,0.68627451,16,1,1,1,1,1176,152,0.129251701
flat-rr-verilator,core_sparse_identity,3,1,1,512,16,0,16,16,0,1,1,0,1,522,0.03125,0.03125,0,16,512,1.04166667,2,2,1,1,0,0,0,0,1,1,PASS,,,,,False,,COMPLETE,1,1,16,16,0,0,2,2,2,1,1,1,16,0,0,0,16,16,0,0,,,,64,7360,0,6391,0.868342391,16,1,1,1,1,997,28,0.0280842528
flat-rr-verilator,core_sparse_rotate180,3,1,1,512,16,0,16,16,0,1,1,0,1,522,0.03125,0.03125,0,16,512,1.04166667,2,2,1,1,0,0,0,0,1,1,PASS,,,,,False,,COMPLETE,1,1,16,16,0,0,2,2,2,1,1,1,16,0,0,0,16,16,0,0,,,,64,7360,0,6391,0.868342391,16,1,1,1,1,997,28,0.0280842528
flat-rr-verilator,elephant_mouse_affine,90,1,1,2048,1827,0,1827,1827,0,1,1,0,1,2058,0.891602,0.891602,0,1826,2048,0.990668403,2,2,1,1,0,0,0,0,0.098107,0.098107,PASS,,,,,False,,COMPLETE,1,1,1827,1827,0,0,2,2,2,1,1,1,1827,0,0,0,16,16,0,1811,109,242,443,64,31936,0,13765,0.431018287,16,1,1,1,1,18496,325,0.0175713668
flat-rr-verilator,elephant_mouse_identity,90,1,1,2048,1827,0,1827,1827,0,1,1,0,1,2058,0.891602,0.891602,0,1826,2048,0.990668403,2,2,1,1,0,0,0,0,0.098107,0.098107,PASS,,,,,False,,COMPLETE,1,1,1827,1827,0,0,2,2,2,1,1,1,1827,0,0,0,16,16,0,1811,109,242,443,64,31936,0,13765,0.431018287,16,1,1,1,1,18496,325,0.0175713668
flat-rr-verilator,global_fanin_identity,25,1,1,2048,512,0,512,512,0,1,1,0,1,2058,0.25,0.25,0,512,2048,1,9.5,17,1,1,15,15,0,0,1,1,PASS,,,,,False,,COMPLETE,1,1,512,512,0,0,9,17,17,1,1,1,512,0,0,0,16,16,0,496,64,64,64,64,31936,0,36,0.00112725451,16,1,1,1,1,31900,0,0
flat-rr-verilator,moving_hotspot_multi_column,90,1,1,2048,1821,0,1821,1821,0,1,1,0,1,2058,0.888672,0.888672,0,1820,2048,0.987413194,2,2,1,1,0,0,0,0,0.992622,0.992622,PASS,,,,,False,,COMPLETE,1,1,1821,1821,0,0,2,2,2,1,1,1,1821,0,0,0,16,16,0,1805,87,149,375,64,31936,0,7123,0.22303983,16,1,1,1,1,25087,274,0.0109219915
flat-rr-verilator,moving_hotspot_multi_disperse,90,1,1,2048,1821,0,1821,1821,0,1,1,0,1,2058,0.888672,0.888672,0,1820,2048,0.987413194,2,2,1,1,0,0,0,0,0.99365,0.99365,PASS,,,,,False,,COMPLETE,1,1,1821,1821,0,0,2,2,2,1,1,1,1821,0,0,0,16,16,0,1805,85,160,394,64,31936,0,7546,0.23628507,16,1,1,1,1,24670,280,0.0113498176
flat-rr-verilator,moving_hotspot_multi_row,90,1,1,2048,1821,0,1821,1821,0,1,1,0,1,2058,0.888672,0.888672,0,1820,2048,0.987413194,2,2,1,1,0,0,0,0,0.99644,0.99644,PASS,,,,,False,,COMPLETE,1,1,1821,1821,0,0,2,2,2,1,1,1,1821,0,0,0,16,16,0,1805,87,175,461,64,31936,0,8021,0.251158567,16,1,1,1,1,24190,275,0.011368334
flat-rr-verilator,moving_hotspot_single,90,2,2,4096,3648,0,3648,3648,0,1,1,0,1,2058,0.890137,0.888672,0.001465,3646,4096,0.989040799,2,2,1,1,0,0,0,0,0.997411,0.996625,PASS,,,,,False,,COMPLETE,2,2,3648,3648,0,0,2,2,2,1,1,1,3648,0,0,0,32,32,0,3616,106,232,468,64,63872,0,26196,0.410132766,32,1,1,1,1,38353,677,0.0176518134
