candidate,name,report_group,workload,seed,load,trace_sha256,generated,source_overrun,accepted,delivered,errors,measurement_event_per_cycle,p95_e2e_latency,p99_e2e_latency,max_e2e_latency,max_request_wait,demand_normalized_fairness,min_source_service_ratio,drain_cycles
a4-quadtree-model,core_simultaneous_identity,core_simultaneous_identity,basic_simultaneous,1002,0.063,a9a81664fc2117e72df8739b816eaffdeb8a4ab734576ab7c96336d0d232f045,16,0,16,16,0,0.0625,17,17,17,12,1.0,1.0,0
mock-flat-rr-model,core_simultaneous_identity,core_simultaneous_identity,basic_simultaneous,1002,0.063,a9a81664fc2117e72df8739b816eaffdeb8a4ab734576ab7c96336d0d232f045,16,0,16,16,0,0.0625,16,16,16,15,1.0,1.0,0
a4-quadtree-model,core_sparse_identity,core_sparse_identity,basic_sparse,1001,0.031,5258daa401e16ffccfe80e47a7bc3b3dcf313883a2098929d129a178ec5e6b80,16,0,16,16,0,0.03125,2,2,2,0,1.0,1.0,0
mock-flat-rr-model,core_sparse_identity,core_sparse_identity,basic_sparse,1001,0.031,5258daa401e16ffccfe80e47a7bc3b3dcf313883a2098929d129a178ec5e6b80,16,0,16,16,0,0.03125,1,1,1,0,1.0,1.0,0
a4-quadtree-model,core_sparse_rotate180,core_sparse_rotate180,basic_sparse,1001,0.031,afc988806e810c026947341813ec989570f1b469c0189c12f6e09b3faaa1e93f,16,0,16,16,0,0.03125,2,2,2,0,1.0,1.0,0
mock-flat-rr-model,core_sparse_rotate180,core_sparse_rotate180,basic_sparse,1001,0.031,afc988806e810c026947341813ec989570f1b469c0189c12f6e09b3faaa1e93f,16,0,16,16,0,0.03125,1,1,1,0,1.0,1.0,0
a4-quadtree-model,elephant_mouse_affine,elephant_mouse_affine,elephant_mouse,3601,0.9,cbfdc0993396f30d16bb987ce381a324e53cbe852dce15bd0f5d95a687790c2d,1827,0,1827,1827,0,0.89111328125,2,2,2,0,1.0,1.0,2
mock-flat-rr-model,elephant_mouse_affine,elephant_mouse_affine,elephant_mouse,3601,0.9,cbfdc0993396f30d16bb987ce381a324e53cbe852dce15bd0f5d95a687790c2d,1827,0,1827,1827,0,0.8916015625,1,1,1,0,1.0,1.0,1
a4-quadtree-model,elephant_mouse_identity,elephant_mouse_identity,elephant_mouse,3601,0.9,0fbec1a87125b199ce8e5b389d108481e238d64d5e7a3a1ee6e74786d1b3fabb,1827,0,1827,1827,0,0.89111328125,2,2,2,0,1.0,1.0,2
mock-flat-rr-model,elephant_mouse_identity,elephant_mouse_identity,elephant_mouse,3601,0.9,0fbec1a87125b199ce8e5b389d108481e238d64d5e7a3a1ee6e74786d1b3fabb,1827,0,1827,1827,0,0.8916015625,1,1,1,0,1.0,1.0,1
a4-quadtree-model,global_fanin_identity,global_fanin_identity,global_fanin,3701,0.25,82d86a633f1359d484cc0b780b9b3447048cb76a122422e02da3bf0f6ff800ab,512,0,512,512,0,0.25,17,17,17,12,1.0,1.0,0
mock-flat-rr-model,global_fanin_identity,global_fanin_identity,global_fanin,3701,0.25,82d86a633f1359d484cc0b780b9b3447048cb76a122422e02da3bf0f6ff800ab,512,0,512,512,0,0.25,16,16,16,15,1.0,1.0,0
a4-quadtree-model,moving_hotspot_multi_column_s3301,moving_hotspot_multi_column,moving_hotspot,3301,0.9,5538b98dc8bf9e3ac58f47cd1127cf59be0bf930f236ae82d3b225fe5a910f78,1821,0,1821,1821,0,0.88818359375,2,2,2,0,1.0,1.0,2
mock-flat-rr-model,moving_hotspot_multi_column_s3301,moving_hotspot_multi_column,moving_hotspot,3301,0.9,5538b98dc8bf9e3ac58f47cd1127cf59be0bf930f236ae82d3b225fe5a910f78,1821,0,1821,1821,0,0.888671875,1,1,1,0,1.0,1.0,1
a4-quadtree-model,moving_hotspot_multi_disperse_s3301,moving_hotspot_multi_disperse,moving_hotspot,3301,0.9,0ce16196ad82c5dba864ed678b2cab036d4a56b94fa99dda62da492d6ba6ec17,1821,0,1821,1821,0,0.88818359375,2,2,2,0,1.0,1.0,2
mock-flat-rr-model,moving_hotspot_multi_disperse_s3301,moving_hotspot_multi_disperse,moving_hotspot,3301,0.9,0ce16196ad82c5dba864ed678b2cab036d4a56b94fa99dda62da492d6ba6ec17,1821,0,1821,1821,0,0.888671875,1,1,1,0,1.0,1.0,1
a4-quadtree-model,moving_hotspot_multi_row_s3301,moving_hotspot_multi_row,moving_hotspot,3301,0.9,d3bbf76b74a9bf981752f9021e09ebc683a50a163be2a92a71cd6b0c5892c4ab,1821,0,1821,1821,0,0.88818359375,2,2,2,0,1.0,1.0,2
mock-flat-rr-model,moving_hotspot_multi_row_s3301,moving_hotspot_multi_row,moving_hotspot,3301,0.9,d3bbf76b74a9bf981752f9021e09ebc683a50a163be2a92a71cd6b0c5892c4ab,1821,0,1821,1821,0,0.888671875,1,1,1,0,1.0,1.0,1
a4-quadtree-model,moving_hotspot_single_s3301,moving_hotspot_single,moving_hotspot,3301,0.9,63645d3abae7210d74dbd16176bc5d4b17cb7d800eaefe59dfde721cd98eca5f,1821,0,1821,1821,0,0.88818359375,2,2,2,0,1.0,1.0,2
mock-flat-rr-model,moving_hotspot_single_s3301,moving_hotspot_single,moving_hotspot,3301,0.9,63645d3abae7210d74dbd16176bc5d4b17cb7d800eaefe59dfde721cd98eca5f,1821,0,1821,1821,0,0.888671875,1,1,1,0,1.0,1.0,1
a4-quadtree-model,moving_hotspot_single_s3302,moving_hotspot_single,moving_hotspot,3302,0.9,6eb1fd67c9ef8ec6327708525887893c08bdbe764ada3d98c1a7b7fec8c8fa04,1827,0,1827,1827,0,0.89111328125,2,2,2,0,1.0,1.0,2
mock-flat-rr-model,moving_hotspot_single_s3302,moving_hotspot_single,moving_hotspot,3302,0.9,6eb1fd67c9ef8ec6327708525887893c08bdbe764ada3d98c1a7b7fec8c8fa04,1827,0,1827,1827,0,0.8916015625,1,1,1,0,1.0,1.0,1
a4-quadtree-model,phase_transition_s3501,phase_transition,phase_transition,3501,0.769,0c0d47f9559f5ca454a9a2b2c04918f63b9b6a2be7fd1c2385f916939f7bcb17,3139,1015,2124,2124,0,0.5185546875,19,20,20,15,0.9988238354686734,0.6244343891402715,0
mock-flat-rr-model,phase_transition_s3501,phase_transition,phase_transition,3501,0.769,0c0d47f9559f5ca454a9a2b2c04918f63b9b6a2be7fd1c2385f916939f7bcb17,3139,1017,2122,2122,0,0.51806640625,13,15,16,15,0.9979449712990733,0.6108597285067874,0
a4-quadtree-model,phase_transition_s3502,phase_transition,phase_transition,3502,0.769,1342bdafe2a9820d136b66d1afacb3f6f4eac672223adcf1d963a5edf0910d11,3167,1013,2154,2154,0,0.52587890625,19,20,20,15,0.9973576706338904,0.6157407407407407,0
mock-flat-rr-model,phase_transition_s3502,phase_transition,phase_transition,3502,0.769,1342bdafe2a9820d136b66d1afacb3f6f4eac672223adcf1d963a5edf0910d11,3167,1016,2151,2151,0,0.525146484375,13,15,16,15,0.9984044012915885,0.6157407407407407,0
