name,count_match,overrun_match,throughput_delta_rtl_minus_model,p95_latency_delta_rtl_minus_model,p99_latency_delta_rtl_minus_model,max_wait_delta_rtl_minus_model
core_sparse_identity,True,True,0.0,1,1,0
core_sparse_rotate180,True,True,0.0,1,1,0
core_simultaneous_identity,True,True,0.0,1,1,0
uniform_l0p125_s2001,True,True,4.0625000000127365e-07,1,1,0
uniform_l0p125_s2002,True,True,-4.0625000000127365e-07,1,1,0
uniform_l0p125_s2003,True,True,3.125000000436806e-08,1,1,0
uniform_l0p50_s2001,True,True,-1.8750000002620837e-07,1,1,0
uniform_l0p50_s2002,True,True,3.437500000202931e-07,1,1,0
uniform_l0p50_s2003,True,True,3.125000003212364e-08,1,1,0
uniform_l0p90_s2001,True,True,1.8749999997069722e-07,1,1,0
uniform_l0p90_s2002,True,True,-3.125000003212364e-08,1,1,0
uniform_l0p90_s2003,True,True,-9.374999998534861e-08,1,1,0
uniform_l1p00_s2001,True,True,-4.375000000056417e-07,1,1,0
uniform_l1p00_s2002,True,True,-4.375000000056417e-07,1,1,0
uniform_l1p00_s2003,True,True,-4.375000000056417e-07,1,1,0
uniform_l1p25_s2001,True,True,-4.375000000056417e-07,1,1,0
uniform_l1p25_s2002,True,True,-4.375000000056417e-07,1,1,0
uniform_l1p25_s2003,True,True,-4.375000000056417e-07,1,1,0
uniform_l1p50_s2001,True,True,-4.375000000056417e-07,1,1,0
uniform_l1p50_s2002,True,True,-4.375000000056417e-07,1,1,0
uniform_l1p50_s2003,True,True,-4.375000000056417e-07,1,1,0
uniform_l2p00_s2001,True,True,-4.375000000056417e-07,1,1,0
uniform_l2p00_s2002,True,True,-4.375000000056417e-07,1,1,0
uniform_l2p00_s2003,True,True,-4.375000000056417e-07,1,1,0
shape_b1,True,True,1.406249999780229e-07,1,1,0
shape_b4,True,True,0.0,1,1,0
shape_b16,True,True,0.0,1,1,0
spatial_local,True,True,0.0,1,1,0
spatial_dispersed,True,True,0.0,1,1,0
spatial_local_mirror,True,True,0.0,1,1,0
moving_hotspot_single_s3301,True,True,4.0624999997351807e-07,1,1,0
moving_hotspot_single_s3302,True,True,-2.812499999560458e-07,1,1,0
moving_hotspot_multi_disperse_s3301,True,True,4.0624999997351807e-07,1,1,0
moving_hotspot_multi_row_s3301,True,True,4.0624999997351807e-07,1,1,0
moving_hotspot_multi_column_s3301,True,True,4.0624999997351807e-07,1,1,0
rotating_victim_identity,True,True,-3.5937499998084377e-07,1,1,0
rotating_victim_affine,True,True,-3.5937499998084377e-07,1,1,0
phase_transition_s3501,True,True,3.1249999998816946e-07,1,1,0
phase_transition_s3502,True,True,9.374999998534861e-08,1,1,0
elephant_mouse_identity,True,True,-2.812499999560458e-07,1,1,0
elephant_mouse_affine,True,True,-2.812499999560458e-07,1,1,0
global_fanin_identity,True,True,0.0,1,1,0
retrigger_identity,True,True,0.0,1,1,0
retrigger_affine,True,True,0.0,1,1,0
timing_pair_s3901,True,True,4.6875000003776535e-07,1,1,0
timing_pair_s3902,True,True,4.0624999997351807e-07,1,1,0
