name,sources,padded_ports,empty_ports,padding_fraction,tree_levels,merge_nodes,state_bits,workload,mapping,trace_sha256,generated,accepted,overrun,event_p99_latency,pair_p99_latency,generated_pairs,complete_pairs,pair_completion_ratio,max_request_wait,drain_cycles,level0_link_util_mean,level0_link_util_max,level1_link_util_mean,level1_link_util_max,level2_link_util_mean,level2_link_util_max,mapping_wire_span_max,mapping_wire_span_mean,mapping_wire_span_total,tree_edge_span_max,estimated_wire_span_max,merge_fanout_max
n16_boundary_move,16,16,0,0.0,2,5,155,quadrant_boundary_move,identity,27bea64c15c7498854b567559170d6051b268bc45cdafed25f9625a44270ce11,3196,2024,1172,7,7,1598,461,0.28848560700876097,4,1,0.24694973157637873,0.40800390434358225,0.9877989263055149,0.9877989263055149,0.0,0.0,0,0.0,0,2,2,4
n16_boundary_move,16,16,0,0.0,2,5,155,quadrant_boundary_move,interleaved,27bea64c15c7498854b567559170d6051b268bc45cdafed25f9625a44270ce11,3196,2024,1172,6,6,1598,444,0.27784730913642053,3,1,0.24694973157637873,0.49389946315275746,0.9877989263055149,0.9877989263055149,0.0,0.0,3,1.5,24,2,3,4
n16_boundary_move,16,16,0,0.0,2,5,155,quadrant_boundary_move,bit_reversed,27bea64c15c7498854b567559170d6051b268bc45cdafed25f9625a44270ce11,3196,2013,1183,7,7,1598,451,0.28222778473091364,4,0,0.2457275390625,0.328125,0.98291015625,0.98291015625,0.0,0.0,3,1.5,24,2,3,4
n16_boundary_move,16,16,0,0.0,2,5,155,quadrant_boundary_move,placement_best,27bea64c15c7498854b567559170d6051b268bc45cdafed25f9625a44270ce11,3196,2013,1183,6,7,1598,458,0.28660826032540676,4,0,0.2457275390625,0.32080078125,0.98291015625,0.98291015625,0.0,0.0,6,2.5,40,2,6,4
n16_boundary_move,16,16,0,0.0,2,5,155,quadrant_boundary_move,placement_worst,27bea64c15c7498854b567559170d6051b268bc45cdafed25f9625a44270ce11,3196,1973,1223,4,5,1598,397,0.24843554443053817,3,1,0.24072718399219128,0.7096144460712542,0.9629087359687653,0.9629087359687653,0.0,0.0,6,2.625,42,2,6,4
n16_single_quadrant,16,16,0,0.0,2,5,155,single_quadrant_overload,identity,d167c4988af7fb0791deee0d5b68cdfe2a5728ff31b3beeddfdb339f52e0511f,3292,2037,1255,5,5,1646,690,0.41919805589307413,3,5,0.24805163175840234,0.9922065270336093,0.9922065270336093,0.9922065270336093,0.0,0.0,0,0.0,0,2,2,4
n16_single_quadrant,16,16,0,0.0,2,5,155,single_quadrant_overload,interleaved,d167c4988af7fb0791deee0d5b68cdfe2a5728ff31b3beeddfdb339f52e0511f,3292,2051,1241,6,6,1646,405,0.24605103280680438,3,6,0.249634858812074,0.49951314508276534,0.998539435248296,0.998539435248296,0.0,0.0,3,1.5,24,2,3,4
n16_single_quadrant,16,16,0,0.0,2,5,155,single_quadrant_overload,bit_reversed,d167c4988af7fb0791deee0d5b68cdfe2a5728ff31b3beeddfdb339f52e0511f,3292,2048,1244,6,6,1646,693,0.42102065613608747,3,6,0.249269717624148,0.498539435248296,0.997078870496592,0.997078870496592,0.0,0.0,3,1.5,24,2,3,4
n16_single_quadrant,16,16,0,0.0,2,5,155,single_quadrant_overload,placement_best,d167c4988af7fb0791deee0d5b68cdfe2a5728ff31b3beeddfdb339f52e0511f,3292,2054,1238,8,8,1646,723,0.43924665856622114,3,8,0.2497568093385214,0.2504863813229572,0.9990272373540856,0.9990272373540856,0.0,0.0,4,1.5,24,2,4,4
n16_single_quadrant,16,16,0,0.0,2,5,155,single_quadrant_overload,placement_worst,d167c4988af7fb0791deee0d5b68cdfe2a5728ff31b3beeddfdb339f52e0511f,3292,2037,1255,5,5,1646,690,0.41919805589307413,3,5,0.24805163175840234,0.9922065270336093,0.9922065270336093,0.9922065270336093,0.0,0.0,3,0.75,12,2,3,4
n16_all_quadrants,16,16,0,0.0,2,5,155,all_quadrants_equal,identity,b1ca353231f08b84fe950f992ddbc1fc064dd646cb57ac5712d4fc8f61877140,3308,2048,1260,20,20,827,328,0.3966142684401451,15,17,0.24794188861985472,0.24842615012106536,0.9917675544794189,0.9917675544794189,0.0,0.0,0,0.0,0,2,2,4
n16_all_quadrants,16,16,0,0.0,2,5,155,all_quadrants_equal,interleaved,b1ca353231f08b84fe950f992ddbc1fc064dd646cb57ac5712d4fc8f61877140,3308,2045,1263,20,20,827,336,0.4062877871825877,15,15,0.24781871061560834,0.2501211827435773,0.9912748424624334,0.9912748424624334,0.0,0.0,3,1.5,24,2,3,4
n16_all_quadrants,16,16,0,0.0,2,5,155,all_quadrants_equal,bit_reversed,b1ca353231f08b84fe950f992ddbc1fc064dd646cb57ac5712d4fc8f61877140,3308,2051,1257,20,20,827,335,0.40507859733978235,15,17,0.2483050847457627,0.25181598062953997,0.9932203389830508,0.9932203389830508,0.0,0.0,3,1.5,24,2,3,4
n16_all_quadrants,16,16,0,0.0,2,5,155,all_quadrants_equal,placement_best,b1ca353231f08b84fe950f992ddbc1fc064dd646cb57ac5712d4fc8f61877140,3308,2049,1259,20,20,827,337,0.407496977025393,15,16,0.24818313953488372,0.24854651162790697,0.9927325581395349,0.9927325581395349,0.0,0.0,3,1.25,20,2,3,4
n16_all_quadrants,16,16,0,0.0,2,5,155,all_quadrants_equal,placement_worst,b1ca353231f08b84fe950f992ddbc1fc064dd646cb57ac5712d4fc8f61877140,3308,2042,1266,20,20,827,246,0.2974607013301088,15,18,0.24709583736689256,0.25459825750242016,0.9883833494675702,0.9883833494675702,0.0,0.0,4,2.0,32,2,4,4
n64_boundary_move,64,64,0,0.0,3,21,693,quadrant_boundary_move,identity,7db56eafe33d56f58dd3f0c441729703acae606eddc57c87b8bdf53c280dca94,3180,2038,1142,9,9,1590,488,0.3069182389937107,5,6,0.062013145082765335,0.3222979552093476,0.24805258033106134,0.40749756572541385,0.9922103213242454,0.9922103213242454,0,0.0,0,4,4,4
n64_boundary_move,64,64,0,0.0,3,21,693,quadrant_boundary_move,interleaved,7db56eafe33d56f58dd3f0c441729703acae606eddc57c87b8bdf53c280dca94,3180,2038,1142,8,8,1590,479,0.3012578616352201,3,6,0.062013145082765335,0.4104186952288218,0.24805258033106134,0.4961051606621227,0.9922103213242454,0.9922103213242454,6,3.0,192,4,6,4
n64_boundary_move,64,64,0,0.0,3,21,693,quadrant_boundary_move,bit_reversed,7db56eafe33d56f58dd3f0c441729703acae606eddc57c87b8bdf53c280dca94,3180,2038,1142,10,10,1590,515,0.3238993710691824,5,6,0.062013145082765335,0.16358325219084713,0.24805258033106134,0.3247322297955209,0.9922103213242454,0.9922103213242454,11,4.625,296,4,11,4
n64_boundary_move,64,64,0,0.0,3,21,693,quadrant_boundary_move,placement_best,7db56eafe33d56f58dd3f0c441729703acae606eddc57c87b8bdf53c280dca94,3180,2038,1142,8,9,1590,520,0.3270440251572327,3,6,0.062013145082765335,0.1640701071080818,0.24805258033106134,0.24975657254138267,0.9922103213242454,0.9922103213242454,10,4.21875,270,4,10,4
n64_boundary_move,64,64,0,0.0,3,21,693,quadrant_boundary_move,placement_worst,7db56eafe33d56f58dd3f0c441729703acae606eddc57c87b8bdf53c280dca94,3180,1935,1245,5,5,1590,373,0.23459119496855346,3,4,0.05893640350877193,0.6179337231968811,0.23574561403508773,0.9429824561403509,0.9429824561403509,0.9429824561403509,8,3.5,224,4,8,4
n64_single_quadrant,64,64,0,0.0,3,21,693,single_quadrant_overload,identity,a14370970ba4e98df833c00e946b432cb6c78a7ae16d8e6458a71932ff71ab9d,3382,2060,1322,21,21,1691,814,0.48137196924896514,15,15,0.06240911294231702,0.2506059137178866,0.24963645176926805,0.9985458070770722,0.9985458070770722,0.9985458070770722,0,0.0,0,4,4,4
n64_single_quadrant,64,64,0,0.0,3,21,693,single_quadrant_overload,interleaved,a14370970ba4e98df833c00e946b432cb6c78a7ae16d8e6458a71932ff71ab9d,3382,2061,1321,21,21,1691,835,0.4937906564163217,14,16,0.062409156976744186,0.251453488372093,0.24963662790697674,0.5,0.998546511627907,0.998546511627907,6,3.0,192,4,6,4
n64_single_quadrant,64,64,0,0.0,3,21,693,single_quadrant_overload,bit_reversed,a14370970ba4e98df833c00e946b432cb6c78a7ae16d8e6458a71932ff71ab9d,3382,2063,1319,27,27,1691,850,0.5026611472501479,14,18,0.06240924491771539,0.12536302032913843,0.24963697967086157,0.25024201355275894,0.9985479186834463,0.9985479186834463,11,4.625,296,4,11,4
n64_single_quadrant,64,64,0,0.0,3,21,693,single_quadrant_overload,placement_best,a14370970ba4e98df833c00e946b432cb6c78a7ae16d8e6458a71932ff71ab9d,3382,2075,1307,36,36,1691,869,0.5138971023063276,15,30,0.06240976900866218,0.06256015399422522,0.2496390760346487,0.24975938402309913,0.9985563041385948,0.9985563041385948,9,4.125,264,4,9,4
n64_single_quadrant,64,64,0,0.0,3,21,693,single_quadrant_overload,placement_worst,a14370970ba4e98df833c00e946b432cb6c78a7ae16d8e6458a71932ff71ab9d,3382,2060,1322,21,21,1691,789,0.4665878178592549,15,15,0.06240911294231702,0.2506059137178866,0.24963645176926805,0.9985458070770722,0.9985458070770722,0.9985458070770722,6,2.5,160,4,6,4
n64_all_quadrants,64,64,0,0.0,3,21,693,all_quadrants_equal,identity,aec130eb883c1b1ed4e0ed5905105b0ca1e5b2518178a8f5cf9da628f738bf6a,3360,2087,1273,84,84,840,330,0.39285714285714285,63,46,0.06229106972301814,0.06303724928366762,0.2491642788920726,0.24976122254059216,0.9966571155682904,0.9966571155682904,0,0.0,0,4,4,4
n64_all_quadrants,64,64,0,0.0,3,21,693,all_quadrants_equal,interleaved,aec130eb883c1b1ed4e0ed5905105b0ca1e5b2518178a8f5cf9da628f738bf6a,3360,2087,1273,84,84,840,307,0.36547619047619045,63,46,0.06229106972301814,0.06351480420248329,0.2491642788920726,0.2507163323782235,0.9966571155682904,0.9966571155682904,6,3.0,192,4,6,4
n64_all_quadrants,64,64,0,0.0,3,21,693,all_quadrants_equal,bit_reversed,aec130eb883c1b1ed4e0ed5905105b0ca1e5b2518178a8f5cf9da628f738bf6a,3360,2090,1270,84,84,840,323,0.38452380952380955,63,49,0.062291368621840724,0.06294706723891273,0.2491654744873629,0.24988078206962328,0.9966618979494516,0.9966618979494516,11,4.625,296,4,11,4
n64_all_quadrants,64,64,0,0.0,3,21,693,all_quadrants_equal,placement_best,aec130eb883c1b1ed4e0ed5905105b0ca1e5b2518178a8f5cf9da628f738bf6a,3360,2084,1276,83,83,840,314,0.3738095238095238,63,43,0.0622907699665232,0.06312769010043041,0.2491630798660928,0.24964131994261118,0.9966523194643712,0.9966523194643712,9,3.53125,226,4,9,4
