candidate,test,load_pct,runs,seed_count,stim_cycles,generated,source_overrun,accepted,delivered,errors,delivery_ratio,acceptance_ratio,overrun_ratio,end_to_end_ratio,avg_total_cycles,avg_throughput,worst_throughput,throughput_stddev,measurement_delivered,measurement_cycles,window_completion_ratio,avg_e2e_latency,worst_e2e_latency,avg_internal_latency,worst_internal_latency,avg_request_wait,worst_request_wait,avg_timing_error,worst_timing_error,avg_fairness,worst_fairness,performance_state,knee_load_pct,tail_latency_factor,tail_wait_factor,tail_timing_error_factor,tail_degraded,correctness_issues,event_metrics_state,event_runs,event_seed_count,event_rows,delivered_event_rows,undelivered_event_rows,censored_event_rows,p50_e2e_latency_cycles,p95_e2e_latency_cycles,p99_e2e_latency_cycles,p50_internal_latency_cycles,p95_internal_latency_cycles,p99_internal_latency_cycles,deadline_events,deadline_misses,deadline_censored,deadline_miss_ratio,service_sources_expected,service_sources_delivered,service_sources_unobserved,service_gap_samples,p95_service_gap_cycles,p99_service_gap_cycles,max_service_gap_cycles,service_window_cycles,service_source_windows,min_service_per_source_window,zero_service_source_windows,zero_service_source_window_ratio,active_offered_sources,demand_normalized_acceptance_fairness,demand_normalized_delivery_fairness,min_source_acceptance_ratio,min_source_delivery_ratio,demand_service_source_windows,zero_demand_service_source_windows,zero_demand_service_source_window_ratio
a4-quadtree-verilator,core_simultaneous_identity,6,1,1,256,16,0,16,16,0,1,1,0,1,266,0.0625,0.0625,0,16,256,1.04166667,10.5,18,4.625,5,12,12,0,0,1,1,PASS,,,,,False,,COMPLETE,1,1,16,16,0,0,10,18,18,5,5,5,16,0,0,0,16,16,0,0,,,,64,3264,0,2240,0.68627451,16,1,1,1,1,1192,168,0.140939597
a4-quadtree-verilator,core_sparse_identity,3,1,1,512,16,0,16,16,0,1,1,0,1,522,0.03125,0.03125,0,16,512,1.04166667,3,3,2,2,0,0,0,0,1,1,PASS,,,,,False,,COMPLETE,1,1,16,16,0,0,3,3,3,2,2,2,16,0,0,0,16,16,0,0,,,,64,7360,0,6391,0.868342391,16,1,1,1,1,1012,43,0.0424901186
a4-quadtree-verilator,core_sparse_rotate180,3,1,1,512,16,0,16,16,0,1,1,0,1,522,0.03125,0.03125,0,16,512,1.04166667,3,3,2,2,0,0,0,0,1,1,PASS,,,,,False,,COMPLETE,1,1,16,16,0,0,3,3,3,2,2,2,16,0,0,0,16,16,0,0,,,,64,7360,0,6391,0.868342391,16,1,1,1,1,1012,43,0.0424901186
a4-quadtree-verilator,elephant_mouse_affine,90,1,1,2048,1827,0,1827,1827,0,1,1,0,1,2059,0.891113,0.891113,0,1825,2048,0.990125868,3,3,2,2,0,0,0,0,0.098107,0.098107,PASS,,,,,False,,COMPLETE,1,1,1827,1827,0,0,3,3,3,2,2,2,1827,0,0,0,16,16,0,1811,109,242,443,64,31952,0,13770,0.430958938,16,1,1,1,1,18668,486,0.0260338547
a4-quadtree-verilator,elephant_mouse_identity,90,1,1,2048,1827,0,1827,1827,0,1,1,0,1,2059,0.891113,0.891113,0,1825,2048,0.990125868,3,3,2,2,0,0,0,0,0.098107,0.098107,PASS,,,,,False,,COMPLETE,1,1,1827,1827,0,0,3,3,3,2,2,2,1827,0,0,0,16,16,0,1811,109,242,443,64,31952,0,13770,0.430958938,16,1,1,1,1,18668,486,0.0260338547
a4-quadtree-verilator,global_fanin_identity,25,1,1,2048,512,0,512,512,0,1,1,0,1,2058,0.25,0.25,0,512,2048,1,10.5,18,4.625,5,12,12,0,0,1,1,PASS,,,,,False,,COMPLETE,1,1,512,512,0,0,10,18,18,5,5,5,512,0,0,0,16,16,0,496,64,64,64,64,31936,0,28,0.000876753507,16,1,1,1,1,31908,0,0
a4-quadtree-verilator,moving_hotspot_multi_column,90,1,1,2048,1821,0,1821,1821,0,1,1,0,1,2059,0.888184,0.888184,0,1819,2048,0.98687066,3,3,2,2,0,0,0,0,0.992622,0.992622,PASS,,,,,False,,COMPLETE,1,1,1821,1821,0,0,3,3,3,2,2,2,1821,0,0,0,16,16,0,1805,87,149,375,64,31952,0,7128,0.223084627,16,1,1,1,1,25232,408,0.0161699429
a4-quadtree-verilator,moving_hotspot_multi_disperse,90,1,1,2048,1821,0,1821,1821,0,1,1,0,1,2059,0.888184,0.888184,0,1819,2048,0.98687066,3,3,2,2,0,0,0,0,0.99365,0.99365,PASS,,,,,False,,COMPLETE,1,1,1821,1821,0,0,3,3,3,2,2,2,1821,0,0,0,16,16,0,1805,85,160,394,64,31952,0,7551,0.236323235,16,1,1,1,1,24818,417,0.0168023209
a4-quadtree-verilator,moving_hotspot_multi_row,90,1,1,2048,1821,0,1821,1821,0,1,1,0,1,2059,0.888184,0.888184,0,1819,2048,0.98687066,3,3,2,2,0,0,0,0,0.99644,0.99644,PASS,,,,,False,,COMPLETE,1,1,1821,1821,0,0,3,3,3,2,2,2,1821,0,0,0,16,16,0,1805,87,175,461,64,31952,0,8026,0.251189284,16,1,1,1,1,24333,407,0.0167262565
a4-quadtree-verilator,moving_hotspot_single,90,2,2,4096,3648,0,3648,3648,0,1,1,0,1,2059,0.8896485,0.888184,0.0014645,3644,4096,0.988498264,3,3,2,2,0,0,0,0,0.997411,0.996625,PASS,,,,,False,,COMPLETE,2,2,3648,3648,0,0,3,3,3,2,2,2,3648,0,0,0,32,32,0,3616,106,232,468,64,63904,0,26209,0.410130821,32,1,1,1,1,38703,1008,0.0260444927
