candidate,test,seed,load_pct,event_rows,delivered_event_rows,undelivered_event_rows,censored_event_rows,p50_e2e_latency_cycles,p95_e2e_latency_cycles,p99_e2e_latency_cycles,p50_internal_latency_cycles,p95_internal_latency_cycles,p99_internal_latency_cycles,deadline_events,deadline_misses,deadline_censored,deadline_miss_ratio,service_sources_expected,service_sources_delivered,service_sources_unobserved,service_gap_samples,p95_service_gap_cycles,p99_service_gap_cycles,max_service_gap_cycles,service_window_cycles,service_source_windows,min_service_per_source_window,zero_service_source_windows,zero_service_source_window_ratio,active_offered_sources,demand_normalized_acceptance_fairness,demand_normalized_delivery_fairness,min_source_acceptance_ratio,min_source_delivery_ratio,demand_service_source_windows,zero_demand_service_source_windows,zero_demand_service_source_window_ratio
a4-quadtree-verilator,core_simultaneous_identity,1002,6,16,16,0,0,10,18,18,5,5,5,16,0,0,0,16,16,0,0,,,,64,3264,0,2240,0.68627451,16,1,1,1,1,1192,168,0.140939597
a4-quadtree-verilator,core_sparse_identity,1001,3,16,16,0,0,3,3,3,2,2,2,16,0,0,0,16,16,0,0,,,,64,7360,0,6391,0.868342391,16,1,1,1,1,1012,43,0.0424901186
a4-quadtree-verilator,core_sparse_rotate180,1001,3,16,16,0,0,3,3,3,2,2,2,16,0,0,0,16,16,0,0,,,,64,7360,0,6391,0.868342391,16,1,1,1,1,1012,43,0.0424901186
a4-quadtree-verilator,elephant_mouse_affine,3601,90,1827,1827,0,0,3,3,3,2,2,2,1827,0,0,0,16,16,0,1811,109,242,443,64,31952,0,13770,0.430958938,16,1,1,1,1,18668,486,0.0260338547
a4-quadtree-verilator,elephant_mouse_identity,3601,90,1827,1827,0,0,3,3,3,2,2,2,1827,0,0,0,16,16,0,1811,109,242,443,64,31952,0,13770,0.430958938,16,1,1,1,1,18668,486,0.0260338547
a4-quadtree-verilator,global_fanin_identity,3701,25,512,512,0,0,10,18,18,5,5,5,512,0,0,0,16,16,0,496,64,64,64,64,31936,0,28,0.000876753507,16,1,1,1,1,31908,0,0
a4-quadtree-verilator,moving_hotspot_multi_column,3301,90,1821,1821,0,0,3,3,3,2,2,2,1821,0,0,0,16,16,0,1805,87,149,375,64,31952,0,7128,0.223084627,16,1,1,1,1,25232,408,0.0161699429
a4-quadtree-verilator,moving_hotspot_multi_disperse,3301,90,1821,1821,0,0,3,3,3,2,2,2,1821,0,0,0,16,16,0,1805,85,160,394,64,31952,0,7551,0.236323235,16,1,1,1,1,24818,417,0.0168023209
a4-quadtree-verilator,moving_hotspot_multi_row,3301,90,1821,1821,0,0,3,3,3,2,2,2,1821,0,0,0,16,16,0,1805,87,175,461,64,31952,0,8026,0.251189284,16,1,1,1,1,24333,407,0.0167262565
a4-quadtree-verilator,moving_hotspot_single,3301,90,1821,1821,0,0,3,3,3,2,2,2,1821,0,0,0,16,16,0,1805,106,225,454,64,31952,0,12661,0.396250626,16,1,1,1,1,19805,514,0.0259530422
a4-quadtree-verilator,moving_hotspot_single,3302,90,1827,1827,0,0,3,3,3,2,2,2,1827,0,0,0,16,16,0,1811,105,232,468,64,31952,0,13548,0.424011017,16,1,1,1,1,18898,494,0.0261403323
