name,trace_sha256,summary_sha256,events_sha256,accepted,delivered,source_overrun
core_sparse_identity,5258daa401e16ffccfe80e47a7bc3b3dcf313883a2098929d129a178ec5e6b80,4e271994a88a3ab4c7b8b3beb339975bfb3b2e7e779ef26add061f237755e49b,f4b7fc5f07869fa95576a0e5f02335dc126bbc03161b1e42e84d4c3a6b1c23d9,16,16,0
core_sparse_rotate180,afc988806e810c026947341813ec989570f1b469c0189c12f6e09b3faaa1e93f,1e23df05a70684feeccb27e4cd6ada42e9123a203bfe4bfa236b87d540b9e243,2144896395541c554d6553bb5be7124a77b145025e2c3f2e82e61c99b4bbc19d,16,16,0
core_simultaneous_identity,a9a81664fc2117e72df8739b816eaffdeb8a4ab734576ab7c96336d0d232f045,c092955175e2e9ef240a1d34607c0cbadde1c64288893e7562a84cb705da3f37,7080a8505df9fcbc9692349e95a5e3bbe12dffa537241fa86dd39feb5a29b41c,16,16,0
uniform_l0p125_s2001,850e064e2dfe61567e4fd275fb2c200ec23b995f810f4fa40c87322e640e4ffc,198d0d2bd5e51fc8b214250ab121f83d7dc0e372e4508ae3b79a3f66d5bb96f8,35758e296ce748029c719c4b9c365a8a2ef05b8d931a9093f75cfa036d88000e,251,251,0
uniform_l0p125_s2002,e1a7cdc62d914a7e0b92d4cd3e9d7289655e8ad0eb27b513b6859bef694c741d,635ba9d45a071d8db51ac764906f6d7dd86fda9f6bdfbc3133b603a7ec218e3d,b3b18582a4022966df025d0615fe90d08fa6df14fba4ea98e4480a9d44bf80e1,261,261,0
uniform_l0p125_s2003,cecd8707640657715f9b69c57640a49aa5777bb7d3aea61d7038e07b114f9528,20510adca2ecaa7868df34af89de4154d5f5ec73369df68890044324cbe6b798,047c6690d03c40f54fdf59d71d8e08f34ddcc2966bd1704e5d063a7f315043df,231,231,0
uniform_l0p50_s2001,5e897c984eaf929c1b3af994c9776a5d776abc82e78b2660bb90ea5169cb76ab,548c154c1f2f2f6ecc14892cfe3636b4aba9742325c6a473d957f5a7606d5aab,e4ffbcc946a1e1b60763841066c1f408ec99ab9821dd2116213067ed898ca2cd,982,982,0
uniform_l0p50_s2002,a3049c9c22c391dd3447362a260e149dd12da4debd43ddb8dc452de01d2fc6e2,aaf6ff4d14edc05e02b57a4cfca1efcee6abdbf0c36e11fc5e9950a218ca79a4,cc9ca34240fcee0eb453742410d1ed1cbd5dc0348a3c77153819a0eda1850bb2,1038,1038,0
uniform_l0p50_s2003,d5811bc9e953d5e617818235b119d302429f6edd99978315ad3d5195388672d1,b41152b9b675cb9c95c2faae076eaf4f656e1478ba4310c9c3d449fb3b45ef32,eec83cc00a4a2364358e51c2bf7fa37cb5f1f9166d53184f711665b829d0146f,1032,1032,0
uniform_l0p90_s2001,b5324f571be19993e812191adf744a5b7d0626b5a9030592d29e2e7ce401b4a8,efae5cba3f05bb413f45ce10ffc56a56038ac0f8a8dfec611f62e96c252ec9be,b8c38794d59f71bcbe4c55124922418029ad2aeddf614380adc5d10aec7a8fa2,1868,1868,0
uniform_l0p90_s2002,c2698ed1703f87d3f3081584c7f7ca7cfe2b345ce1e477247c70dbc1948bc569,0fafd082c0edae912e5e05166cd976e8e9693207a4dd5ab10606a2bfd2498c00,7473000a2e99cdac7787016fc529e0d0991548e54ea17e6a696a143f512b9b02,1851,1851,0
uniform_l0p90_s2003,c11484a731935911ade2028a2c7bdce20604278c9f8862491166b3276a677be6,8284e72fe4238388ac30af8199371162c2fee8f84694bf2f4465995059ef8ded,d2a05d77e65dcf9ab22fcea58fe677db7cbced13ad80047476d5c21fa57347f7,1837,1837,0
uniform_l1p00_s2001,8554d7917b4a06bbc2e0dd1fc3e06286182a0bf64dff8de01883d2674ecb737d,591cefdbce1fdaad3ff16ea199d2b92181e5d93b230f7935937d0a9283c53f40,95cb4fc997c1a9fe1536175f8d0ad295662d9ec5b3f0d0ddcc463e88475d333a,2048,2048,0
uniform_l1p00_s2002,262f9f91597666910d43bfb5e4a6e9a999272207c22e07f0449ccac707348a5d,2db0ae343cf5c6ac2461a40fd8f8376564328bd70f89889c1466fc15559d4df7,ed5bd3f56d91cb8c93e6d4b182cd3fbd35335899f251ea23199f090d15cbc79b,2048,2048,0
uniform_l1p00_s2003,513b8baed3695aed416b8c8fd15808cb5047b006e60bd606d439f73948a8b399,78090beb8dbff52d0837b2c519468f7228275270dac0a72330ed736b8a255714,e44db1c4bca8bace443f7c03455a2b6e80aae4be08176a974aa6a5d888610e95,2048,2048,0
uniform_l1p25_s2001,a77a87fb0f1a081c183460d5f5f9274fd19114f0d4ae06d4c97360d243661090,ddcdeb798054f7c084710180131a8233f45061af13674d84eb17d434c1a35bcd,cc19d4435140c0b8b7dcb3da47d78ffa7ff47c46828cdb6ac4886d2b35036f57,2052,2052,484
uniform_l1p25_s2002,d73514e45ecfec672b2f2034c9ccf1f6c7d040e4ca228015c2fb664a81c4f5bb,10081df0e0bad648da87aed3e796b6390aeac58776f96f846b69229713ebaad1,3262dfafc26246a141042e26130afbe2ba9fa20e83567997d302e0360422cf02,2052,2052,522
uniform_l1p25_s2003,d3076dbcc97c3b9b10136be192181528eee8bf0ad2d07549effd1c1cf7d33ddb,937ff6c144551cae1e8fcfc3ee009ba06384b4dc2a635ee5837dc166112949bf,e240e3e8235e5132e259e790aebe0dd745fc1aadb1714c63d99f4191a9c4a5fd,2054,2054,496
uniform_l1p50_s2001,7653c20cb03953592a0727f73ee66761a6e719d06019234cf61fd4e471393839,34ba6b2dff986ee9125409017ab1ad3e1bd14dd6196214d119acfc42e80b6438,9ab4c658fc88f264c84059b107a69ebbf9783100d74e44d2a4429d2b7625d2f4,2056,2056,983
uniform_l1p50_s2002,6193ccd24af9f7c182b3a2fa6f355d6a2c210bd43476bca8e2242897ae1ee8ab,158cdee61a1d85a5e23fd451f5d854f5f5122dbd2378723c2d7d0075a3620ae1,7816dab903e882b0beada1516df8c87633331c16e82a5336439e82f4b8f11000,2057,2057,1037
uniform_l1p50_s2003,d301da0e4dba7a64c4c1154fe617612368d3908779bf3204be5471bfae847bad,330a89d991caff05e2ccc344bc3c5a4c5a2bdedc240e6409ebbe5f36d7098f1b,7db8d9157fcc7e9d0b7a38c07b72fed1009f2071b58322a36cbf38d86f3f24b2,2054,2054,991
uniform_l2p00_s2001,5ee63712c80a14a42901e2bc6c7fab121eb129ba12be16c615f8228e3944f627,c58ce8929ff13b73ef63b2993e42869c3c2cd3f9b3373721783eb132a3ce82a2,de8b13bc6a86eb4b03249db9f1d1502e3f3f920040543c46936e42af3039ec94,2060,2060,2036
uniform_l2p00_s2002,8b32d69a0ac8d591e810320510f1657d685fb0e79951b992035d82d50e9bb72a,d5f7a8ba89535287f91853a1162f03d59c80661056e14754e0fa36b3db82f19f,1c465d9f3cb98150ae619d9677a55291373ec93d7da28fba0fda3d571c9f44b3,2058,2058,2038
uniform_l2p00_s2003,ef15eb066fb4ee69eebae96d495e20f73def720bb5da5428d5480f603189d75d,158598445242e5fabd5a276171742b371761be5789615a076118ea557cff1ead,44437d0b04492f97839becddfb629d77c63e16077b50d008312edf118eb44d40,2059,2059,2037
shape_b1,6b4e2984771d7c23dd6bc68e01e9125d72e68af24afdd70a38988bf0b6be0bf4,eb34c7a88850ae28e76ed5d4a0fbe5af93e79e6c19f52bd250fddcdf0b25a2b6,bbbb329a234b832ff3242755bae9e6eb37550be064dd008c15be78aee4b87c1b,2048,2048,0
shape_b4,90eb9c4173de5cf92d98bbb70512b3f3bb7a1aff94803c4e7f4d4d73f8ef59b7,ca074d542f0e0ed9c8f1f65cc19c48c4975062c6333b3876de8e3a2fa516d2a6,b38ae02ff9a13ce378fb257cfae522ecc89436b1c009aa20a7cbc0c65ebd2e31,2048,2048,0
shape_b16,b622e934385346d3a6f976535b813d07af650846abe1011bc7644ca4a931f545,c4bf27a06513d9b66b20b6379deac3a85ac3ea03bed81285161202fc988ff84f,f9175f4e93d0233166131a6b60349f77ecfe76a7006e987a5fb625db077d26e4,2048,2048,0
spatial_local,2805554231a8e60e48f1025eff6df959935083a566656ba327d64e9c8b67ecb0,4de292569ededb217992730e73c2fa7fb2b107cda2ec12c024d62d23699cff7b,fafb0a91e50b57131a3504fc94a4995066c7034e8f8cf6abb1ddf2b1cbf04472,1536,1536,0
spatial_dispersed,87ac5ad6f73f9e9e1be70aa6495acbe1cdf3f2bbff6c11d8afa5414f8d1680da,8a0c4356c410af7728685cdd2e7ada122cd26373a75650be868c1015523fbdbf,b8a6dc9d0dae966defb8917a05bf95346224c4f1905e9437c715f6f3544ca658,1536,1536,0
