name,workload,seed,load,trace_sha256,a4_source_overrun,flat_source_overrun,delta_source_overrun,a4_measurement_event_per_cycle,flat_measurement_event_per_cycle,delta_measurement_event_per_cycle,a4_p95_e2e_latency,flat_p95_e2e_latency,delta_p95_e2e_latency,a4_p99_e2e_latency,flat_p99_e2e_latency,delta_p99_e2e_latency,a4_max_request_wait,flat_max_request_wait,delta_max_request_wait,a4_demand_normalized_fairness,flat_demand_normalized_fairness,delta_demand_normalized_fairness,a4_min_source_service_ratio,flat_min_source_service_ratio,delta_min_source_service_ratio
core_sparse_identity,basic_sparse,1001,0.031,5258daa401e16ffccfe80e47a7bc3b3dcf313883a2098929d129a178ec5e6b80,0,0,0.0,0.03125,0.03125,0.0,3,2,1.0,3,2,1.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
core_sparse_rotate180,basic_sparse,1001,0.031,afc988806e810c026947341813ec989570f1b469c0189c12f6e09b3faaa1e93f,0,0,0.0,0.03125,0.03125,0.0,3,2,1.0,3,2,1.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
core_simultaneous_identity,basic_simultaneous,1002,0.063,a9a81664fc2117e72df8739b816eaffdeb8a4ab734576ab7c96336d0d232f045,0,0,0.0,0.0625,0.0625,0.0,18,17,1.0,18,17,1.0,12,15,-3.0,1.0,1.0,0.0,1.0,1.0,0.0
uniform_l0p125_s2001,uniform,2001,0.125,850e064e2dfe61567e4fd275fb2c200ec23b995f810f4fa40c87322e640e4ffc,0,0,0.0,0.122559,0.122559,0.0,3,2,1.0,3,2,1.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
uniform_l0p125_s2002,uniform,2002,0.125,e1a7cdc62d914a7e0b92d4cd3e9d7289655e8ad0eb27b513b6859bef694c741d,0,0,0.0,0.127441,0.127441,0.0,3,2,1.0,3,2,1.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
uniform_l0p125_s2003,uniform,2003,0.125,cecd8707640657715f9b69c57640a49aa5777bb7d3aea61d7038e07b114f9528,0,0,0.0,0.112793,0.112793,0.0,3,2,1.0,3,2,1.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
uniform_l0p50_s2001,uniform,2001,0.5,5e897c984eaf929c1b3af994c9776a5d776abc82e78b2660bb90ea5169cb76ab,0,0,0.0,0.479492,0.479492,0.0,3,2,1.0,3,2,1.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
uniform_l0p50_s2002,uniform,2002,0.5,a3049c9c22c391dd3447362a260e149dd12da4debd43ddb8dc452de01d2fc6e2,0,0,0.0,0.506348,0.506836,-0.00048799999999993293,3,2,1.0,3,2,1.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
uniform_l0p50_s2003,uniform,2003,0.5,d5811bc9e953d5e617818235b119d302429f6edd99978315ad3d5195388672d1,0,0,0.0,0.503418,0.503418,0.0,3,2,1.0,3,2,1.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
uniform_l0p90_s2001,uniform,2001,0.9,b5324f571be19993e812191adf744a5b7d0626b5a9030592d29e2e7ce401b4a8,0,0,0.0,0.911133,0.911621,-0.00048800000000004395,3,2,1.0,3,2,1.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
uniform_l0p90_s2002,uniform,2002,0.9,c2698ed1703f87d3f3081584c7f7ca7cfe2b345ce1e477247c70dbc1948bc569,0,0,0.0,0.902832,0.90332,-0.00048800000000004395,3,2,1.0,3,2,1.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
uniform_l0p90_s2003,uniform,2003,0.9,c11484a731935911ade2028a2c7bdce20604278c9f8862491166b3276a677be6,0,0,0.0,0.895996,0.896484,-0.00048799999999993293,3,2,1.0,3,2,1.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
uniform_l1p00_s2001,uniform,2001,1.0,8554d7917b4a06bbc2e0dd1fc3e06286182a0bf64dff8de01883d2674ecb737d,0,0,0.0,0.999023,0.999512,-0.0004889999999999617,3,2,1.0,3,2,1.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
uniform_l1p00_s2002,uniform,2002,1.0,262f9f91597666910d43bfb5e4a6e9a999272207c22e07f0449ccac707348a5d,0,0,0.0,0.999023,0.999512,-0.0004889999999999617,3,2,1.0,3,2,1.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
uniform_l1p00_s2003,uniform,2003,1.0,513b8baed3695aed416b8c8fd15808cb5047b006e60bd606d439f73948a8b399,0,0,0.0,0.999023,0.999512,-0.0004889999999999617,3,2,1.0,3,2,1.0,0,0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
uniform_l1p25_s2001,uniform,2001,1.25,a77a87fb0f1a081c183460d5f5f9274fd19114f0d4ae06d4c97360d243661090,484,485,-1.0,0.999023,0.999512,-0.0004889999999999617,16,10,6.0,19,11,8.0,15,11,4.0,0.9982333346990564,0.9989255914255566,-0.0006922567265001955,0.7472527472527473,0.7630057803468208,-0.0157530330940735
