key,k,b,d,seed,max_cell_fanin,wire_proxy,flat_wire_proxy,wire_ratio,work_proxy,flat_work_proxy,work_ratio,depth_proxy,flat_depth_proxy,depth_ratio,max_rounds_used,max_edge_probes,stopping_set_size,cases,illegal_source,illegal_lane,duplicate_source,duplicate_cell,duplicate_lane,accepted_over_k,p_invariant,reaction_deadlock,capacity_failure
k2_b2_d2_s0,2,2,2,0,16,36,32,1.125,140,32,4.375,14,8,1.75,2,46,2,262144,0,0,0,0,0,0,0,0,0
k2_b3_d2_s0,2,3,2,0,11,38,32,1.1875,146,32,4.5625,16,8,2.0,2,52,2,262144,0,0,0,0,0,0,0,0,0
k2_b3_d3_s0,2,3,3,0,16,54,32,1.6875,210,32,6.5625,18,8,2.25,2,77,2,262144,0,0,0,0,0,0,0,0,0
k2_b4_d2_s38,2,4,2,38,8,40,32,1.25,152,32,4.75,14,8,1.75,2,53,2,262144,0,0,0,0,0,0,0,0,0
k2_b4_d3_s5,2,4,3,5,12,56,32,1.75,216,32,6.75,18,8,2.25,2,81,2,262144,0,0,0,0,0,0,0,0,0
k2_b4_d4_s0,2,4,4,0,16,72,32,2.25,280,32,8.75,18,8,2.25,2,108,2,262144,0,0,0,0,0,0,0,0,0
k2_b5_d2_s15,2,5,2,15,7,42,32,1.3125,158,32,4.9375,16,8,2.0,2,52,2,262144,0,0,0,0,0,0,0,0,0
k2_b5_d3_s56,2,5,3,56,10,58,32,1.8125,222,32,6.9375,20,8,2.5,2,81,2,262144,0,0,0,0,0,0,0,0,0
k2_b5_d4_s2,2,5,4,2,13,74,32,2.3125,286,32,8.9375,20,8,2.5,2,106,2,262144,0,0,0,0,0,0,0,0,0
k2_b6_d2_s23,2,6,2,23,6,44,32,1.375,164,32,5.125,16,8,2.0,2,56,2,262144,0,0,0,0,0,0,0,0,0
k2_b6_d3_s2,2,6,3,2,9,60,32,1.875,228,32,7.125,20,8,2.5,2,74,2,262144,0,0,0,0,0,0,0,0,0
k2_b6_d4_s4,2,6,4,4,12,76,32,2.375,292,32,9.125,20,8,2.5,2,90,2,262144,0,0,0,0,0,0,0,0,0
k2_b7_d2_s3,2,7,2,3,6,46,32,1.4375,170,32,5.3125,16,8,2.0,2,57,2,262144,0,0,0,0,0,0,0,0,0
k2_b7_d3_s36,2,7,3,36,8,62,32,1.9375,234,32,7.3125,18,8,2.25,1,48,3,262144,0,0,0,0,0,0,0,0,0
k2_b7_d4_s16,2,7,4,16,10,78,32,2.4375,298,32,9.3125,20,8,2.5,2,103,2,262144,0,0,0,0,0,0,0,0,0
k2_b8_d2_s19,2,8,2,19,5,48,32,1.5,176,32,5.5,16,8,2.0,2,57,2,262144,0,0,0,0,0,0,0,0,0
k2_b8_d3_s63,2,8,3,63,7,64,32,2.0,240,32,7.5,18,8,2.25,1,48,3,262144,0,0,0,0,0,0,0,0,0
k2_b8_d4_s12,2,8,4,12,9,80,32,2.5,304,32,9.5,20,8,2.5,2,98,2,262144,0,0,0,0,0,0,0,0,0
k2_b9_d2_s6,2,9,2,6,5,50,32,1.5625,182,32,5.6875,18,8,2.25,2,57,2,262144,0,0,0,0,0,0,0,0,0
k2_b9_d3_s6,2,9,3,6,7,66,32,2.0625,246,32,7.6875,20,8,2.5,1,48,3,262144,0,0,0,0,0,0,0,0,0
k2_b9_d4_s43,2,9,4,43,8,82,32,2.5625,310,32,9.6875,20,8,2.5,2,99,2,262144,0,0,0,0,0,0,0,0,0
k2_b10_d2_s27,2,10,2,27,5,52,32,1.625,188,32,5.875,18,8,2.25,1,32,3,262144,0,0,0,0,0,0,0,0,0
k2_b10_d3_s21,2,10,3,21,6,68,32,2.125,252,32,7.875,20,8,2.5,2,87,2,262144,0,0,0,0,0,0,0,0,0
k2_b10_d4_s2,2,10,4,2,8,84,32,2.625,316,32,9.875,20,8,2.5,1,64,3,262144,0,0,0,0,0,0,0,0,0
k2_b11_d2_s11,2,11,2,11,4,54,32,1.6875,194,32,6.0625,16,8,2.0,2,57,2,262144,0,0,0,0,0,0,0,0,0
k2_b11_d3_s12,2,11,3,12,6,70,32,2.1875,258,32,8.0625,20,8,2.5,1,48,3,262144,0,0,0,0,0,0,0,0,0
k2_b11_d4_s50,2,11,4,50,7,86,32,2.6875,322,32,10.0625,20,8,2.5,1,64,3,262144,0,0,0,0,0,0,0,0,0
k2_b12_d2_s13,2,12,2,13,4,56,32,1.75,200,32,6.25,16,8,2.0,1,32,3,262144,0,0,0,0,0,0,0,0,0
k2_b12_d3_s9,2,12,3,9,6,72,32,2.25,264,32,8.25,20,8,2.5,1,48,3,262144,0,0,0,0,0,0,0,0,0
k2_b12_d4_s0,2,12,4,0,7,88,32,2.75,328,32,10.25,20,8,2.5,1,64,4,262144,0,0,0,0,0,0,0,0,0
k4_b4_d4_s0,4,4,4,0,16,80,64,1.25,592,64,9.25,36,16,2.25,4,140,2,1048576,0,0,0,0,0,0,0,0,0
k4_b5_d3_s52,4,5,3,52,10,68,64,1.0625,484,64,7.5625,40,16,2.5,3,85,2,1048576,0,0,0,0,0,0,0,0,146
k4_b5_d4_s10,4,5,4,10,13,84,64,1.3125,612,64,9.5625,40,16,2.5,4,115,2,1048576,0,0,0,0,0,0,0,0,0
k4_b6_d3_s20,4,6,3,20,9,72,64,1.125,504,64,7.875,40,16,2.5,3,85,2,1048576,0,0,0,0,0,0,0,0,79
k4_b6_d4_s0,4,6,4,0,12,88,64,1.375,632,64,9.875,40,16,2.5,3,110,2,1048576,0,0,0,0,0,0,0,0,0
k4_b7_d3_s3,4,7,3,3,8,76,64,1.1875,524,64,8.1875,36,16,2.25,3,94,2,1048576,0,0,0,0,0,0,0,0,55
k4_b7_d4_s9,4,7,4,9,10,92,64,1.4375,652,64,10.1875,40,16,2.5,3,121,2,1048576,0,0,0,0,0,0,0,0,0
k4_b8_d2_s48,4,8,2,48,6,64,64,1.0,416,64,6.5,32,16,2.0,3,69,3,1048576,0,0,0,0,0,0,0,0,321
k4_b8_d3_s13,4,8,3,13,7,80,64,1.25,544,64,8.5,36,16,2.25,3,84,3,1048576,0,0,0,0,0,0,0,0,34
k4_b8_d4_s7,4,8,4,7,9,96,64,1.5,672,64,10.5,40,16,2.5,3,132,3,1048576,0,0,0,0,0,0,0,0,0
k4_b9_d2_s26,4,9,2,26,6,68,64,1.0625,436,64,6.8125,36,16,2.25,3,65,3,1048576,0,0,0,0,0,0,0,0,158
k4_b9_d3_s2,4,9,3,2,7,84,64,1.3125,564,64,8.8125,40,16,2.5,3,94,3,1048576,0,0,0,0,0,0,0,0,26
k4_b9_d4_s16,4,9,4,16,8,100,64,1.5625,692,64,10.8125,40,16,2.5,3,109,2,1048576,0,0,0,0,0,0,0,0,0
k4_b10_d2_s41,4,10,2,41,4,72,64,1.125,456,64,7.125,32,16,2.0,3,70,3,1048576,0,0,0,0,0,0,0,0,286
k4_b10_d3_s0,4,10,3,0,6,88,64,1.375,584,64,9.125,40,16,2.5,2,79,3,1048576,0,0,0,0,0,0,0,0,4
k4_b10_d4_s9,4,10,4,9,8,104,64,1.625,712,64,11.125,40,16,2.5,3,117,3,1048576,0,0,0,0,0,0,0,0,0
k4_b11_d2_s52,4,11,2,52,4,76,64,1.1875,476,64,7.4375,32,16,2.0,3,66,3,1048576,0,0,0,0,0,0,0,0,111
k4_b11_d3_s10,4,11,3,10,5,92,64,1.4375,604,64,9.4375,40,16,2.5,2,84,4,1048576,0,0,0,0,0,0,0,0,0
k4_b11_d4_s15,4,11,4,15,8,108,64,1.6875,732,64,11.4375,40,16,2.5,2,106,4,1048576,0,0,0,0,0,0,0,0,0
k4_b12_d2_s35,4,12,2,35,4,80,64,1.25,496,64,7.75,32,16,2.0,3,70,3,1048576,0,0,0,0,0,0,0,0,45
k4_b12_d3_s5,4,12,3,5,5,96,64,1.5,624,64,9.75,40,16,2.5,2,85,4,1048576,0,0,0,0,0,0,0,0,7
k4_b12_d4_s2,4,12,4,2,7,112,64,1.75,752,64,11.75,40,16,2.5,2,105,4,1048576,0,0,0,0,0,0,0,0,0
