suite,trace,trace_sha256,k,model,b,d,seed,generated,accepted,delivered,source_overrun,fixed_window_delivered,average_latency,p95_latency,p99_latency,max_latency,drain_cycle
full50,core_simultaneous_identity,a9a81664fc2117e72df8739b816eaffdeb8a4ab734576ab7c96336d0d232f045,2,flat_k_grant,0,0,0,16,16,16,0,16,5.5,9,9,9,72
full50,core_simultaneous_identity,a9a81664fc2117e72df8739b816eaffdeb8a4ab734576ab7c96336d0d232f045,2,ecrf,2,2,0,16,16,16,0,16,5.5,9,9,9,72
full50,core_sparse_identity,5258daa401e16ffccfe80e47a7bc3b3dcf313883a2098929d129a178ec5e6b80,2,flat_k_grant,0,0,0,16,16,16,0,16,2.0,2,2,2,482
full50,core_sparse_identity,5258daa401e16ffccfe80e47a7bc3b3dcf313883a2098929d129a178ec5e6b80,2,ecrf,2,2,0,16,16,16,0,16,2.0,2,2,2,482
full50,core_sparse_rotate180,afc988806e810c026947341813ec989570f1b469c0189c12f6e09b3faaa1e93f,2,flat_k_grant,0,0,0,16,16,16,0,16,2.0,2,2,2,482
full50,core_sparse_rotate180,afc988806e810c026947341813ec989570f1b469c0189c12f6e09b3faaa1e93f,2,ecrf,2,2,0,16,16,16,0,16,2.0,2,2,2,482
full50,elephant_mouse_affine,cbfdc0993396f30d16bb987ce381a324e53cbe852dce15bd0f5d95a687790c2d,2,flat_k_grant,0,0,0,1827,1827,1827,0,1826,2.0,2,2,2,2048
full50,elephant_mouse_affine,cbfdc0993396f30d16bb987ce381a324e53cbe852dce15bd0f5d95a687790c2d,2,ecrf,2,2,0,1827,1827,1827,0,1826,2.0,2,2,2,2048
full50,elephant_mouse_identity,0fbec1a87125b199ce8e5b389d108481e238d64d5e7a3a1ee6e74786d1b3fabb,2,flat_k_grant,0,0,0,1827,1827,1827,0,1826,2.0,2,2,2,2048
full50,elephant_mouse_identity,0fbec1a87125b199ce8e5b389d108481e238d64d5e7a3a1ee6e74786d1b3fabb,2,ecrf,2,2,0,1827,1827,1827,0,1826,2.0,2,2,2,2048
full50,global_fanin_identity,82d86a633f1359d484cc0b780b9b3447048cb76a122422e02da3bf0f6ff800ab,2,flat_k_grant,0,0,0,512,512,512,0,512,5.5,9,9,9,1992
full50,global_fanin_identity,82d86a633f1359d484cc0b780b9b3447048cb76a122422e02da3bf0f6ff800ab,2,ecrf,2,2,0,512,512,512,0,512,5.5,9,9,9,1992
full50,mixed_phase_always_ready_bit_reverse,4e0ff22112dba73d984cfcc50d6ce2e726f74d4ce2a70b9b7dec5399a7dbe822,2,flat_k_grant,0,0,0,9228,8025,8025,1203,8023,2.6561993769470407,4,9,352,4096
full50,mixed_phase_always_ready_bit_reverse,4e0ff22112dba73d984cfcc50d6ce2e726f74d4ce2a70b9b7dec5399a7dbe822,2,ecrf,2,2,0,9228,8025,8025,1203,8023,2.6561993769470407,4,9,352,4096
full50,mixed_phase_always_ready_identity,9fde0ee816a80975d219b57e9799e73c198efc85d6e9aec4cb2a2e4816974705,2,flat_k_grant,0,0,0,9228,8020,8020,1208,8018,2.698379052369077,4,9,521,4096
full50,mixed_phase_always_ready_identity,9fde0ee816a80975d219b57e9799e73c198efc85d6e9aec4cb2a2e4816974705,2,ecrf,2,2,0,9228,8020,8020,1208,8018,2.698379052369077,4,9,521,4096
full50,moving_hotspot_multi_column_s3301,5538b98dc8bf9e3ac58f47cd1127cf59be0bf930f236ae82d3b225fe5a910f78,2,flat_k_grant,0,0,0,1821,1821,1821,0,1820,2.0,2,2,2,2048
full50,moving_hotspot_multi_column_s3301,5538b98dc8bf9e3ac58f47cd1127cf59be0bf930f236ae82d3b225fe5a910f78,2,ecrf,2,2,0,1821,1821,1821,0,1820,2.0,2,2,2,2048
