name,workload,report_group,trace_sha256,generated,source_overrun,accepted,delivered,errors,compressed_bits,raw_bits,compression_ratio,escape_ratio,same_tokens,run_tokens,delta_tokens,raw_tokens,link_bits_per_event,link_cycles,events_per_link_cycle,events_per_pin_cycle,data_toggles_per_event,toggle_proxy_per_event,raw_events_per_pin_cycle,raw_toggle_proxy_per_event,offered_bits_per_event,offered_compression_ratio,offered_escape_ratio,overrun_ratio,throughput,avg_e2e_latency,p95_e2e_latency,p99_e2e_latency,max_e2e_latency,avg_internal_latency,total_cycles
core_simultaneous_identity,basic_simultaneous,core_simultaneous_identity,a9a81664fc2117e72df8739b816eaffdeb8a4ab734576ab7c96336d0d232f045,16,0,16,16,0,52,64,1.2307692307692308,0.0625,0,0,15,1,3.25,34,0.47058823529411764,0.09411764705882353,3.875,9.9375,0.1,2.125,3.25,1.2307692307692308,0.0625,0.0,0.0625,38.0,68.0,68.0,68,8.9375,266
core_sparse_identity,basic_sparse,core_sparse_identity,5258daa401e16ffccfe80e47a7bc3b3dcf313883a2098929d129a178ec5e6b80,16,0,16,16,0,52,64,1.2307692307692308,0.0625,0,0,15,1,3.25,34,0.47058823529411764,0.09411764705882353,3.875,9.9375,0.1,2.125,3.25,1.2307692307692308,0.0625,0.0,0.03125,6.125,8.0,8.0,8,5.125,522
core_sparse_rotate180,basic_sparse,core_sparse_rotate180,afc988806e810c026947341813ec989570f1b469c0189c12f6e09b3faaa1e93f,16,0,16,16,0,52,64,1.2307692307692308,0.0625,0,0,15,1,3.25,34,0.47058823529411764,0.09411764705882353,4.0,10.0625,0.1,2.125,3.25,1.2307692307692308,0.0625,0.0,0.03125,6.125,8.0,8.0,8,5.125,522
elephant_mouse_affine,elephant_mouse,elephant_mouse_affine,cbfdc0993396f30d16bb987ce381a324e53cbe852dce15bd0f5d95a687790c2d,1827,1406,421,421,0,2150,1684,0.7832558139534884,0.5771971496437055,5,6,136,243,5.10688836104513,1262,0.3335974643423138,0.06671949286846275,3.8812351543942993,9.299287410926366,0.1,2.370546318289786,3.1039956212370003,1.2886616117086933,0.3158182813355227,0.7695675971538041,0.202148,29.814727,50.0,59.0,66,12.558195,2087
elephant_mouse_identity,elephant_mouse,elephant_mouse_identity,0fbec1a87125b199ce8e5b389d108481e238d64d5e7a3a1ee6e74786d1b3fabb,1827,1410,417,417,0,2175,1668,0.766896551724138,0.5971223021582733,0,9,126,249,5.215827338129497,1275,0.3270588235294118,0.06541176470588235,3.448441247002398,8.899280575539569,0.1,1.6115107913669064,3.1915708812260535,1.2533013205282113,0.337712096332786,0.7717569786535303,0.200195,31.165468,55.0,58.0,65,12.623501,2089
global_fanin_identity,global_fanin,global_fanin_identity,82d86a633f1359d484cc0b780b9b3447048cb76a122422e02da3bf0f6ff800ab,512,14,498,498,0,1622,1992,1.2281134401972873,0.0642570281124498,0,0,466,32,3.2570281124497993,1060,0.469811320754717,0.0939622641509434,3.8714859437751006,9.873493975903614,0.1,2.0,3.25,1.2307692307692308,0.0625,0.02734375,0.242188,42.827309,72.0,74.0,74,9.242972,2067
moving_hotspot_multi_column_s3301,moving_hotspot,moving_hotspot_multi_column,5538b98dc8bf9e3ac58f47cd1127cf59be0bf930f236ae82d3b225fe5a910f78,1821,1373,448,448,0,1956,1792,0.9161554192229039,0.34151785714285715,0,0,295,153,4.366071428571429,1202,0.37271214642262895,0.07454242928452579,3.9151785714285716,9.917410714285714,0.1,1.9776785714285714,5.952224052718287,0.6720177138112372,0.7979132344865458,0.7539813289401428,0.213867,47.299107,70.0,73.0,77,10.350446,2109
moving_hotspot_multi_disperse_s3301,moving_hotspot,moving_hotspot_multi_disperse,0ce16196ad82c5dba864ed678b2cab036d4a56b94fa99dda62da492d6ba6ec17,1821,1371,450,450,0,1942,1800,0.9268795056642637,0.3288888888888889,0,0,302,148,4.315555555555555,1196,0.3762541806020067,0.07525083612040134,3.902222222222222,9.904444444444444,0.1,1.9733333333333334,5.772103239978034,0.6929882979735515,0.7528830313014827,0.7528830313014827,0.214844,47.235556,70.0,73.0,77,10.3,2107
moving_hotspot_multi_row_s3301,moving_hotspot,moving_hotspot_multi_row,d3bbf76b74a9bf981752f9021e09ebc683a50a163be2a92a71cd6b0c5892c4ab,1821,1370,451,451,0,1909,1804,0.9449973808276585,0.3082039911308204,0,0,312,139,4.232815964523281,1180,0.3822033898305085,0.0764406779661017,3.893569844789357,9.89578713968958,0.1,2.008869179600887,5.101043382756727,0.7841532996016795,0.5853926414058209,0.7523338824821527,0.216309,45.405765,67.0,71.0,73,10.217295,2093
moving_hotspot_single_s3301,moving_hotspot,moving_hotspot_single,63645d3abae7210d74dbd16176bc5d4b17cb7d800eaefe59dfde721cd98eca5f,1821,1410,411,411,0,2131,1644,0.7714687939934303,0.5644768856447688,0,3,163,232,5.184914841849149,1263,0.3254156769596199,0.065083135391924,3.849148418491484,9.637469586374696,0.1,1.9124087591240877,3.298187808896211,1.2127872127872128,0.34761120263591433,0.7742998352553542,0.197754,31.819951,54.0,61.0,69,11.6691,2091
