name,workload,events,zero_order_entropy,transition_entropy,repeat_fraction,mean_run_length,max_run_length,run_length_entropy,block_size,blocks,compressed_blocks,raw_blocks,token_blocks,dictionary_blocks,raw_bypass_ratio,bits,bits_per_event,compression_ratio,saved_bits,mode_header_lower_bound_bits,inband_header_bits_per_event
core_simultaneous_identity,basic_simultaneous,16,4.0,0.0,0.0,1.0,1,-0.0,4,4,0,4,0,0,1.0,64,4.0,1.0,0,4,0.25
core_simultaneous_identity,basic_simultaneous,16,4.0,0.0,0.0,1.0,1,-0.0,8,2,1,1,1,0,0.5,61,3.8125,1.0491803278688525,3,2,0.125
core_simultaneous_identity,basic_simultaneous,16,4.0,0.0,0.0,1.0,1,-0.0,16,1,1,0,1,0,0.0,57,3.5625,1.1228070175438596,7,1,0.0625
core_simultaneous_identity,basic_simultaneous,16,4.0,0.0,0.0,1.0,1,-0.0,32,1,1,0,1,0,0.0,57,3.5625,1.1228070175438596,7,1,0.0625
core_sparse_identity,basic_sparse,16,4.0,0.0,0.0,1.0,1,-0.0,4,4,0,4,0,0,1.0,64,4.0,1.0,0,4,0.25
core_sparse_identity,basic_sparse,16,4.0,0.0,0.0,1.0,1,-0.0,8,2,1,1,1,0,0.5,61,3.8125,1.0491803278688525,3,2,0.125
core_sparse_identity,basic_sparse,16,4.0,0.0,0.0,1.0,1,-0.0,16,1,1,0,1,0,0.0,57,3.5625,1.1228070175438596,7,1,0.0625
core_sparse_identity,basic_sparse,16,4.0,0.0,0.0,1.0,1,-0.0,32,1,1,0,1,0,0.0,57,3.5625,1.1228070175438596,7,1,0.0625
core_sparse_rotate180,basic_sparse,16,4.0,0.0,0.0,1.0,1,-0.0,4,4,0,4,0,0,1.0,64,4.0,1.0,0,4,0.25
core_sparse_rotate180,basic_sparse,16,4.0,0.0,0.0,1.0,1,-0.0,8,2,1,1,1,0,0.5,61,3.8125,1.0491803278688525,3,2,0.125
core_sparse_rotate180,basic_sparse,16,4.0,0.0,0.0,1.0,1,-0.0,16,1,1,0,1,0,0.0,57,3.5625,1.1228070175438596,7,1,0.0625
core_sparse_rotate180,basic_sparse,16,4.0,0.0,0.0,1.0,1,-0.0,32,1,1,0,1,0,0.0,57,3.5625,1.1228070175438596,7,1,0.0625
elephant_mouse_affine,elephant_mouse,1827,1.5212592099226558,1.4425720657191072,0.6354679802955665,2.7432432432432434,41,2.2028707336403963,4,457,243,214,243,0,0.4682713347921225,5987,3.2769567597153806,1.2206447302488725,1321,457,0.2501368363437329
elephant_mouse_affine,elephant_mouse,1827,1.5212592099226558,1.4425720657191072,0.6354679802955665,2.7432432432432434,41,2.2028707336403963,8,229,152,77,137,15,0.33624454148471616,5756,3.150519978106185,1.2696316886726893,1552,229,0.12534209085933223
elephant_mouse_affine,elephant_mouse,1827,1.5212592099226558,1.4425720657191072,0.6354679802955665,2.7432432432432434,41,2.2028707336403963,16,115,90,25,73,17,0.21739130434782608,5586,3.057471264367816,1.3082706766917294,1722,115,0.06294471811713191
elephant_mouse_affine,elephant_mouse,1827,1.5212592099226558,1.4425720657191072,0.6354679802955665,2.7432432432432434,41,2.2028707336403963,32,58,52,6,52,0,0.10344827586206896,5668,3.1023535851122057,1.2893436838390966,1640,58,0.031746031746031744
elephant_mouse_identity,elephant_mouse,1827,1.5212592099226558,1.4425720657191072,0.6354679802955665,2.7432432432432434,41,2.2028707336403963,4,457,234,223,234,0,0.487964989059081,6046,3.3092501368363436,1.2087330466424082,1262,457,0.2501368363437329
elephant_mouse_identity,elephant_mouse,1827,1.5212592099226558,1.4425720657191072,0.6354679802955665,2.7432432432432434,41,2.2028707336403963,8,229,140,89,120,20,0.388646288209607,5808,3.1789819376026274,1.2582644628099173,1500,229,0.12534209085933223
elephant_mouse_identity,elephant_mouse,1827,1.5212592099226558,1.4425720657191072,0.6354679802955665,2.7432432432432434,41,2.2028707336403963,16,115,89,26,66,23,0.22608695652173913,5729,3.1357416529830324,1.2756152906266365,1579,115,0.06294471811713191
elephant_mouse_identity,elephant_mouse,1827,1.5212592099226558,1.4425720657191072,0.6354679802955665,2.7432432432432434,41,2.2028707336403963,32,58,50,8,50,0,0.13793103448275862,5814,3.1822660098522166,1.256965944272446,1494,58,0.031746031746031744
global_fanin_identity,global_fanin,512,4.0,0.0,0.0,1.0,1,-0.0,4,128,0,128,0,0,1.0,2048,4.0,1.0,0,128,0.25
