name,workload,seed,offered,overrun,accepted,delivered,errors,throughput,avg_e2e_latency,max_e2e_latency,max_request_wait,link_bits,data_cycles,delimiter_cycles,blocks,raw_blocks,token_blocks,dictionary_blocks,raw_bypass_ratio,bits_per_event,compression_ratio,events_per_link_cycle,events_per_pin_cycle,toggle_per_event,raw_toggle_per_event
core_simultaneous_identity,basic_simultaneous,1002,16,0,16,16,0,0.0625,73.5,81,15,57,29,1,1,0,1,0,0.0,3.5625,1.1228070175438596,0.5333333333333333,0.10666666666666667,2.6875,2.1875
core_sparse_identity,basic_sparse,1001,16,0,16,16,0,0.03125,24.0,24,0,64,32,16,16,16,0,0,1.0,4.0,1.0,0.3333333333333333,0.06666666666666667,7.0625,2.1875
core_sparse_rotate180,basic_sparse,1001,16,0,16,16,0,0.03125,24.0,24,0,64,32,16,16,16,0,0,1.0,4.0,1.0,0.3333333333333333,0.06666666666666667,7.0625,2.1875
elephant_mouse_affine,elephant_mouse,3601,1827,1311,516,516,0,0.240723,99.635659,143,59,2005,1007,33,33,24,9,0,0.7272727272727273,3.885658914728682,1.029426433915212,0.49615384615384617,0.09923076923076923,2.687984496124031,2.695736434108527
elephant_mouse_identity,elephant_mouse,3601,1827,1325,502,502,0,0.234375,100.776892,149,62,1977,991,32,32,27,4,1,0.84375,3.9382470119521913,1.0156803237228123,0.49071358748778104,0.09814271749755621,1.6872509960159363,1.340637450199203
global_fanin_identity,global_fanin,3701,512,0,512,512,0,0.242188,73.5,81,15,1824,928,32,32,0,32,0,0.0,3.5625,1.1228070175438596,0.5333333333333333,0.10666666666666667,2.626953125,2.005859375
moving_hotspot_multi_column_s3301,moving_hotspot,3301,1821,1305,516,516,0,0.23584,114.044574,147,63,2054,1028,33,33,31,2,0,0.9393939393939394,3.9806201550387597,1.0048685491723466,0.48633364750235625,0.09726672950047126,2.3197674418604652,2.0135658914728682
moving_hotspot_multi_disperse_s3301,moving_hotspot,3301,1821,1306,515,515,0,0.23584,113.726214,147,63,2050,1026,33,33,31,2,0,0.9393939393939394,3.9805825242718447,1.0048780487804878,0.48630783758262514,0.09726156751652502,2.2504854368932037,1.9359223300970874
moving_hotspot_multi_row_s3301,moving_hotspot,3301,1821,1307,514,514,0,0.234863,113.107004,147,63,2053,1027,33,33,32,1,0,0.9696969696969697,3.9941634241245136,1.0014612761811983,0.4849056603773585,0.0969811320754717,2.313229571984436,1.9980544747081712
moving_hotspot_single_s3301,moving_hotspot,3301,1821,1305,516,516,0,0.239746,100.924419,145,61,2023,1015,33,33,26,7,0,0.7878787878787878,3.9205426356589146,1.0202669303015324,0.49236641221374045,0.0984732824427481,2.2228682170542635,1.9515503875968991
