implementation,n,k,yosys_cells,combinational_cells,operator_bit_proxy,depth_operator_levels,generic_comb_gates,depth_generic_gates,register_cells,register_bits,lane_capacity
prefix,16,1,414,409,2791,96,3689,130,5,41,1
replicated,16,1,210,205,2149,60,2304,67,5,41,1
prefix,16,2,555,547,3437,99,4299,133,8,62,2
replicated,16,2,364,356,3687,113,3733,133,8,62,2
prefix,16,4,837,823,4729,105,5592,139,14,104,4
replicated,16,4,726,712,6949,219,6729,248,14,104,4
prefix,16,8,1401,1375,7313,117,8328,151,26,188,8
replicated,16,8,1666,1640,14217,431,13396,476,26,188,8
prefix,32,1,830,825,6047,177,9633,219,5,59,1
replicated,32,1,386,381,6732,108,7746,119,5,59,1
prefix,32,2,1099,1091,7318,180,10855,222,8,81,2
replicated,32,2,652,644,11126,209,12111,234,8,81,2
prefix,32,4,1637,1623,9860,186,13436,228,14,125,4
replicated,32,4,1238,1224,20112,411,20983,447,14,125,4
prefix,32,8,2713,2687,14944,198,19077,240,26,213,8
replicated,32,8,2626,2600,38876,815,39434,871,26,213,8
prefix,64,1,1694,1689,13319,338,25439,389,5,93,1
replicated,64,1,738,733,23667,204,27993,217,5,93,1
prefix,64,2,2219,2211,15903,341,27914,392,8,116,2
replicated,64,2,1228,1220,38405,401,42895,429,8,116,2
prefix,64,4,3269,3255,21071,347,33105,398,14,162,4
replicated,64,4,2262,2248,68091,795,72845,836,14,162,4
prefix,64,8,5369,5343,31407,359,44790,410,26,254,8
replicated,64,8,4546,4520,128303,1583,133489,1648,26,254,8
