implementation,n,k,operator_bit_proxy,depth_operator_levels,generic_comb_gates,depth_generic_gates,max_cell_input_fanout,p95_cell_input_fanout,register_cells,register_bits
prefix,16,2,3437,99,4299,133,85,4,8,62
segmented,16,2,2377,107,3307,149,131,4,8,62
replicated,16,2,3687,113,3733,133,131,3,8,62
prefix,16,4,4729,105,5592,139,104,5,14,104
segmented,16,4,4225,119,4784,165,133,4,14,104
replicated,16,4,6949,219,6729,248,154,5,14,104
prefix,32,2,7318,180,10855,222,194,4,8,81
segmented,32,2,4636,188,7282,237,259,4,8,81
replicated,32,2,11126,209,12111,234,259,3,8,81
prefix,32,4,9860,186,13436,228,194,4,14,125
segmented,32,4,7824,200,10011,253,261,4,14,125
replicated,32,4,20112,411,20983,447,298,5,14,125
prefix,64,2,15903,341,27914,392,447,4,8,116
segmented,64,2,9579,349,17452,407,515,4,8,116
replicated,64,2,38405,401,42895,429,515,3,8,116
prefix,64,4,21071,347,33105,398,445,4,14,162
segmented,64,4,15547,361,22731,423,517,4,14,162
replicated,64,4,68091,795,72845,836,586,5,14,162
