cycle accepted link_count link_data decoded_valid decoded_address retired retired_address retired_latency
0 1 0 0 0 0 0 0 0
1 0 1 2 0 0 0 0 0
2 0 2 2 0 0 0 0 0
3 0 2 0 0 0 0 0 0
4 0 2 1 0 0 0 0 0
5 0 2 1 0 0 0 0 0
6 0 2 1 0 0 0 0 0
7 0 2 1 0 0 0 0 0
8 0 2 1 0 0 0 0 0
9 0 2 1 0 0 0 0 0
10 0 2 1 0 0 0 0 0
11 0 2 1 0 0 0 0 0
12 0 2 1 0 0 0 0 0
13 0 2 1 0 0 0 0 0
14 0 2 1 0 0 0 0 0
15 0 2 1 0 0 0 0 0
16 0 2 1 0 0 0 0 0
17 0 2 1 0 0 0 0 0
18 0 2 1 0 0 0 0 0
19 0 2 1 1 0 0 0 0
20 1 0 0 1 0 0 0 0
21 0 1 2 1 0 0 0 0
22 0 2 2 1 0 0 0 0
23 0 2 0 1 0 0 0 0
24 0 2 1 1 0 0 0 0
25 0 2 1 1 0 0 0 0
26 0 2 1 1 0 0 0 0
27 0 2 1 1 0 0 0 0
28 0 2 1 1 0 0 0 0
29 0 2 1 1 0 0 0 0
30 0 2 1 1 0 0 0 0
31 0 2 1 1 0 0 0 0
32 0 2 1 1 0 0 0 0
33 0 2 1 1 0 0 0 0
34 0 2 1 1 0 0 0 0
35 0 2 1 1 0 0 0 0
36 0 2 1 1 0 0 0 0
37 0 2 1 1 0 0 0 0
38 0 2 1 1 0 0 0 0
39 0 2 1 1 0 0 0 0
40 1 0 0 1 0 0 0 0
41 0 0 0 1 0 0 0 0
42 0 0 0 1 0 0 0 0
43 0 0 0 1 0 0 0 0
44 0 0 0 1 0 0 0 0
45 0 0 0 1 1 1 0 45
46 0 0 0 1 2 1 1 46
47 0 0 0 1 3 1 2 47
48 0 0 0 1 4 1 3 48
49 0 0 0 1 5 1 4 49
50 0 0 0 1 6 1 5 50
51 0 0 0 1 7 1 6 51
52 0 0 0 1 8 1 7 52
53 0 0 0 1 9 1 8 53
54 0 0 0 1 10 1 9 54
55 0 0 0 1 11 1 10 55
56 0 0 0 1 12 1 11 56
57 0 0 0 1 13 1 12 57
58 0 0 0 1 14 1 13 58
59 0 0 0 1 15 1 14 59
60 0 1 2 1 0 1 15 60
61 0 2 2 1 1 1 0 60
62 0 2 0 1 2 1 1 61
63 0 2 1 1 3 1 2 62
64 0 2 1 1 4 1 3 63
65 0 2 1 1 5 1 4 64
66 0 2 1 1 6 1 5 65
67 0 2 1 1 7 1 6 66
68 0 2 1 1 8 1 7 67
69 0 2 1 1 9 1 8 68
70 0 2 1 1 10 1 9 69
71 0 2 1 1 11 1 10 70
72 0 2 1 1 12 1 11 71
73 0 2 1 1 13 1 12 72
74 0 2 1 1 14 1 13 73
75 0 2 1 1 15 1 14 74
76 0 2 1 0 0 1 15 75
77 0 2 1 0 0 0 0 0
78 0 2 1 1 0 0 0 0
79 1 0 0 1 1 1 0 77
80 0 2 0 1 2 1 1 78
81 0 2 1 1 3 1 2 79
82 0 2 1 1 4 1 3 80
83 0 2 3 1 5 1 4 81
84 0 2 3 1 6 1 5 82
85 0 2 2 1 7 1 6 83
86 0 0 0 1 8 1 7 84
87 0 0 0 1 9 1 8 85
88 0 0 0 1 10 1 9 86
89 0 0 0 1 11 1 10 87
90 0 0 0 1 12 1 11 88
91 0 0 0 1 13 1 12 89
92 0 0 0 1 14 1 13 90
93 0 0 0 1 15 1 14 91
94 0 0 0 1 1 1 15 92
95 0 0 0 1 7 1 1 92
96 0 0 0 1 14 1 7 93
97 0 0 0 0 0 1 14 94
98 0 0 0 0 0 0 0 0
99 0 0 0 0 0 0 0 0
100 0 0 0 0 0 0 0 0
101 0 0 0 0 0 0 0 0
